,Unnamed: 0,Compound,Material Composition,energy_above_hull (meV/atom),formation_energy (eV/atom),shannon_radii_AB_avg,Density_AB_avg,BCCefflatcnt_AB_avg,BCCvolume_padiff_AB_avg,GSenergy_pa_AB_avg,ICSDVolume_AB_avg,covalent radius_AB_avg,Ionization Energy (kJ/mol)_AB_avg,Electron Affinity (kJ/mol)_AB_avg,Atomic Volume (cm³/mol)_AB_avg,MendeleevNumber_AB_avg,First Ionization Potential (V)_AB_avg,thermal conductivity_AB_avg,at. wt._AB_diff,specific heat capacity_AB_diff,electrical conductivity_AB_diff,BCCefflatcnt_AB_ratio,Ionization Energy (kJ/mol)_AB_ratio,Heat of Vaporization_AB_ratio
40,40,LaNiO3,La8Ni8O24,128.9359517,-1.536261825,0.92,7.525,6.959992108,0.29125,-5.236935378,24.1,1.2,637.4,80.5,13.66,37.0,6.6075,52.1,40.10605,-0.127,-6.35,1.53648311,0.730419438,1.058463576
41,41,LaScO3,La8Sc8O24,0.0,-3.208486405,1.0525,4.57,7.757052555,0.26875,-5.606529638,31.15,1.345,584.55,34.05,17.865,12.0,6.06,14.65,46.9748,-0.189,0.2,1.190630233,0.852773376,1.310925197
42,42,LaTiO3,La8Ti8O24,30.17024475,-2.857036863,0.9825,5.345,7.44545471,0.36125,-6.351386653,27.5,1.285,598.05,35.0,15.685,28.0,6.2,17.7,45.51275,-0.1665,-0.35,1.305511,0.817781155,0.939722484
43,43,LaVO3,La8V8O24,36.257048,-2.463088985,0.97,6.13,7.179293938,0.28625,-6.933403438,25.6,1.235,594.05,50.0,14.755,29.5,6.16,22.1,43.982,-0.1495,-1.05,1.42277251,0.827846154,0.894492948
44,44,MgFeO3,Mg8Fe8O24,636.3393247,-0.898799179,0.762,4.807,6.355728994,-0.005,-4.913878335,17.55,1.265,748.5,-103.0,10.535,61.5,7.758,118.1,-15.771,0.2855,5.6,1.287119192,0.971552746,0.36509299
45,45,NdFeO3,Nd8Fe8O24,209.8692985,-1.892934511,0.952,7.442,6.899030832,0.08,-6.52391785,22.95,1.405,644.65,37.0,13.85,37.0,6.7,48.35,44.1965,-0.1295,-4.8,1.482627223,0.698011326,0.81167382
46,46,PrCoO3,Pr8Co8O24,22.41961241,-1.771993019,0.865,7.835,6.909585156,0.205,-5.927109553,22.8,1.405,640.5,60.0,13.75,37.5,6.66,56.25,40.98725,-0.114,-8.2,1.509237728,0.689973615,0.891052773
47,47,PrCrO3,Pr8Cr8O24,0.0,-2.30090658,0.875,6.98,6.972326465,0.0975,-7.13977325,23.25,1.415,587.9,57.0,14.015,33.0,6.113,53.1,44.45585,-0.128,-3.2,1.475616247,0.801164216,0.979764359
48,48,PrFeO3,Pr8Fe8O24,44.549417,-2.042041302,0.917,7.322,6.934849495,0.1075,-6.52965716,23.1,1.41,641.15,37.0,13.95,36.0,6.665,46.35,42.53035,-0.128,-4.85,1.495516626,0.688792309,0.951731044
49,49,PrGaO3,Pr8Ga8O24,50.298441,-2.224514487,0.91,6.34,7.454180472,-0.35125,-3.893042631,27.05,1.455,550.9,39.5,16.3,45.5,5.7295,26.55,35.59235,-0.089,-0.15,1.260038089,0.903593642,1.299031477
